myunique_id,myanger_direction,mydeveloper_comment
684491_2,ob,'I'll take a look anyway too bad I can't find my stupid automata text book already bought the stupid thing twice in my life.' 
408313_3,ob,'My only possible issue with that is setting up a new one the first time sling starts up would be annoying unless there is some way to push things into the repo on startup..' 
327964_2,self,'I made a terrible mistake a couple of days back and have copied the wrong Synapse 1.1.1 JARs into the http.people.apache.orgrepom2ibibliorsyncrepository repo which got synced into the Central Repository.' 
1016362_1,self,'me dumb it's my own debug that NPEs.' 
2081112_1,self,'Of course you're right how stupid of me .'  
563392_7,ob,'And what's really unfortunate is that many of these sites are lowbandwidth hosters in Korea and China so your crawl speed drops dramatically because you're spending all your time waiting for worthless bytes to arrive.' 
784633_2,ob,'stupid copypastewithonenewlinetoomuch sorry ' 
324269_3,ob,'Link color is quite ugly.' 
677229_2,ob,'I can't stand not having syntaxerror highlighting in my IDE always having to regenerate the .jj file with 'ant javacc' only to find i made a stupid typo. ' 
452350_2,ob,'The simple 'solution' looks terrible.' 
319577_6,ob,'In the end the only way I could get rid of ugly arrow icons in IE8 was with. DIV.tpalettecontrols BUTTON[disabled] IMG { } Unfortunately this latter solution is the I'll have to go with in order to get a commercial product out of the door deadline is a couple of days' time.'  
254574_6,ob,'I think the functionality of the CEV plugins should be integrated in the CAS Editor in future because actively using two different editors for xmis is really annoying.' 
408982_1,ob,'I hate to have to implement workarounds for broken app servers but agree that it is useful for Sling to be resilient again such problems.' 
807221_3,ob,'Hence the callback cannot be triggered unless somebody puts maliciously stupid code into derived class constructors.' 
811243_12,ob,'Do you think there is way doing without that ugly HttpMethodBase cast.' 
810379_5,ob,'What a ugly piece of an URI . I consider this 'bug' as fixed ... shall I close it .' 
580755_2,ob,'Here are my reasons > git submodules are horrible.' 
337138_2,ob,'That's a pretty disturbing issue to get into a production release.' 
404498_2,ob,'> I'd hate for an implementation change on the JR side to cause this to break again.' 
335894_3,ob,'It can be worked around with JavaScript in the submission but that's quite ugly.' 
258066_2,ob,'It's super annoying when tooling removes your carefully placed XML comments.' 
