seqn.,myunique_id,myanger_direction,Target,mydeveloper_comment,R11,R12,R31,R32,R51,R52,POS,DEP,Targets
245,663569_6,ob,methods,'In Solr we should also add commons.io to this classpath as lots of tests and core classes use the horrible IOUtils methods to converty binary files to strings or copy InputStreams to Strings.',,,,,,we ,"[(""'"", '``'), ('In', 'IN'), ('Solr', 'NNP'), ('we', 'PRP'), ('should', 'MD'), ('also', 'RB'), ('add', 'VB'), ('commons.io', 'NN'), ('to', 'IN'), ('this', 'DT'), ('classpath', 'NN'), ('as', 'IN'), ('lots', 'NNS'), ('of', 'IN'), ('tests', 'NNS'), ('and', 'CC'), ('core', 'NN'), ('classes', 'NNS'), ('use', 'VBP'), ('the', 'DT'), ('horrible', 'JJ'), ('IOUtils', 'NNP'), ('methods', 'NNS'), ('to', 'TO'), ('converty', 'VB'), ('binary', 'JJ'), ('files', 'NNS'), ('to', 'IN'), ('strings', 'NNS'), ('or', 'CC'), ('copy', 'NN'), ('InputStreams', 'NNPS'), ('to', 'TO'), ('Strings', 'NNP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('case', 3, 2), ('obl', 7, 3), ('nsubj', 7, 4), ('aux', 7, 5), ('advmod', 7, 6), ('dep', 1, 7), ('obj', 7, 8), ('case', 11, 9), ('det', 11, 10), ('obl', 7, 11), ('case', 13, 12), ('obl', 7, 13), ('case', 15, 14), ('nmod', 13, 15), ('cc', 18, 16), ('compound', 18, 17), ('conj', 15, 18), ('acl', 13, 19), ('det', 23, 20), ('amod', 23, 21), ('compound', 23, 22), ('obj', 19, 23), ('mark', 25, 24), ('xcomp', 19, 25), ('amod', 27, 26), ('obj', 25, 27), ('case', 29, 28), ('obl', 25, 29), ('cc', 32, 30), ('compound', 32, 31), ('conj', 29, 32), ('case', 34, 33), ('nmod', 29, 34), ('punct', 7, 35), ('punct', 7, 36)]",
246,138211_3,oth,you,'If you think our help is worthless please talk to yourself. ',,,,,,you ,"[(""'"", '``'), ('If', 'IN'), ('you', 'PRP'), ('think', 'VBP'), ('our', 'PRP$'), ('help', 'NN'), ('is', 'VBZ'), ('worthless', 'JJ'), ('please', 'UH'), ('talk', 'VB'), ('to', 'IN'), ('yourself', 'PRP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('mark', 4, 2), ('nsubj', 4, 3), ('advcl', 8, 4), ('nmod:poss', 6, 5), ('nsubj', 8, 6), ('cop', 8, 7), ('dep', 1, 8), ('discourse', 10, 9), ('dep', 8, 10), ('case', 12, 11), ('obl', 10, 12), ('punct', 8, 13), ('punct', 8, 14)]",we 
247,156474_2,ob,formatting,'Oh the formatting is ugly but the result is the same.',,,,,,,"[(""'"", '``'), ('Oh', 'UH'), ('the', 'DT'), ('formatting', 'VBG'), ('is', 'VBZ'), ('ugly', 'JJ'), ('but', 'CC'), ('the', 'DT'), ('result', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('same', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('discourse', 6, 2), ('nsubj', 6, 3), ('amod', 3, 4), ('cop', 6, 5), ('cc', 12, 7), ('det', 9, 8), ('nsubj', 12, 9), ('cop', 12, 10), ('det', 12, 11), ('conj', 6, 12), ('punct', 6, 13), ('punct', 6, 14)]",you 
248,183997_1,self,I,'Well I did a stupid thing.',,,,,I ,,"[(""'"", '``'), ('Well', 'UH'), ('I', 'PRP'), ('did', 'VBD'), ('a', 'DT'), ('stupid', 'JJ'), ('thing', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('discourse', 4, 2), ('nsubj', 4, 3), ('det', 7, 5), ('amod', 7, 6), ('obj', 4, 7), ('punct', 4, 8), ('punct', 4, 9)]",
249,291821_2,ob,that is loggedd as an ERROR,'No matter if this will be 'fixed' it is annoying that it is logged as an ERROR.',,,,,,,"[(""'"", '``'), ('No', 'RB'), ('matter', 'RB'), ('if', 'IN'), ('this', 'DT'), ('will', 'MD'), ('be', 'VB'), (""'"", '``'), ('fixed', 'VBN'), (""'"", ""''""), ('it', 'PRP'), ('is', 'VBZ'), ('annoying', 'JJ'), ('that', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('logged', 'VBN'), ('as', 'IN'), ('an', 'DT'), ('ERROR', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('advmod', 3, 2), ('advmod', 13, 3), ('mark', 9, 4), ('nsubj:pass', 9, 5), ('aux', 9, 6), ('aux:pass', 9, 7), ('punct', 9, 8), ('advcl', 13, 9), ('punct', 9, 10), ('nsubj', 13, 11), ('cop', 13, 12), ('dep', 1, 13), ('mark', 17, 14), ('nsubj:pass', 17, 15), ('aux:pass', 17, 16), ('ccomp', 13, 17), ('case', 20, 18), ('det', 20, 19), ('obl', 17, 20), ('punct', 13, 21), ('punct', 13, 22)]",I 
250,178186_1,self,I,'OMG I did not realize that it is in utils package.',,,,,,it ,"[(""'"", '``'), ('OMG', 'UH'), ('I', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('realize', 'VB'), ('that', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('in', 'IN'), ('utils', 'NNS'), ('package', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('discourse', 6, 2), ('nsubj', 6, 3), ('aux', 6, 4), ('advmod', 6, 5), ('mark', 12, 7), ('nsubj', 12, 8), ('cop', 12, 9), ('case', 12, 10), ('compound', 12, 11), ('ccomp', 6, 12), ('punct', 6, 13), ('punct', 6, 14)]",
251,292116_4,ob,this (in=it?),'This is quite an annoyance as I want server-side switching and statefulness but in looks horrible in IE.',,,,,,,"[(""'"", '``'), ('This', 'DT'), ('is', 'VBZ'), ('quite', 'PDT'), ('an', 'DT'), ('annoyance', 'NN'), ('as', 'IN'), ('I', 'PRP'), ('want', 'VBP'), ('server', 'NN'), ('-', 'HYPH'), ('side', 'NN'), ('switching', 'NN'), ('and', 'CC'), ('statefulness', 'NN'), ('but', 'CC'), ('in', 'IN'), ('looks', 'NNS'), ('horrible', 'JJ'), ('in', 'IN'), ('IE', 'NNP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 6, 2), ('cop', 6, 3), ('det:predet', 6, 4), ('det', 6, 5), ('dep', 1, 6), ('mark', 9, 7), ('nsubj', 9, 8), ('advcl', 6, 9), ('compound', 12, 10), ('punct', 12, 11), ('compound', 13, 12), ('obj', 9, 13), ('cc', 15, 14), ('conj', 13, 15), ('dep', 9, 16), ('case', 18, 17), ('obl', 16, 18), ('amod', 18, 19), ('case', 21, 20), ('obl', 19, 21), ('punct', 6, 22), ('punct', 6, 23)]",it 
252,319977_10,ob,to find that…,'It is rather frustrating to find that there is enough time to complain and hack around things but apparently not enough time to collaborate.',,,,,,,"[(""'"", '``'), ('It', 'PRP'), ('is', 'VBZ'), ('rather', 'RB'), ('frustrating', 'JJ'), ('to', 'TO'), ('find', 'VB'), ('that', 'IN'), ('there', 'EX'), ('is', 'VBZ'), ('enough', 'JJ'), ('time', 'NN'), ('to', 'TO'), ('complain', 'VB'), ('and', 'CC'), ('hack', 'VB'), ('around', 'IN'), ('things', 'NNS'), ('but', 'CC'), ('apparently', 'RB'), ('not', 'RB'), ('enough', 'JJ'), ('time', 'NN'), ('to', 'TO'), ('collaborate', 'VB'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 5, 2), ('cop', 5, 3), ('advmod', 5, 4), ('dep', 1, 5), ('mark', 7, 6), ('xcomp', 5, 7), ('mark', 10, 8), ('expl', 10, 9), ('ccomp', 7, 10), ('amod', 12, 11), ('nsubj', 14, 12), ('mark', 14, 13), ('xcomp', 10, 14), ('cc', 16, 15), ('conj', 14, 16), ('case', 18, 17), ('obl', 16, 18), ('cc', 22, 19), ('advmod', 22, 20), ('advmod', 22, 21), ('conj', 14, 22), ('nsubj', 25, 23), ('mark', 25, 24), ('dep', 22, 25), ('punct', 5, 26), ('punct', 5, 27)]",
253,10384_1,ob,workaround,'Well in my case I now use an ugly workaround splitting the string adding as a must and catching the errors when I encounter a stopword term in a number of places.',,,,,I ,I ,"[(""'"", '``'), ('Well', 'UH'), ('in', 'IN'), ('my', 'PRP$'), ('case', 'NN'), ('I', 'PRP'), ('now', 'RB'), ('use', 'VBP'), ('an', 'DT'), ('ugly', 'JJ'), ('workaround', 'NN'), ('splitting', 'VBG'), ('the', 'DT'), ('string', 'NN'), ('adding', 'VBG'), ('as', 'IN'), ('a', 'DT'), ('must', 'NN'), ('and', 'CC'), ('catching', 'VBG'), ('the', 'DT'), ('errors', 'NNS'), ('when', 'WRB'), ('I', 'PRP'), ('encounter', 'VBP'), ('a', 'DT'), ('stopword', 'JJ'), ('term', 'NN'), ('in', 'IN'), ('a', 'DT'), ('number', 'NN'), ('of', 'IN'), ('places', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 8), ('punct', 8, 1), ('discourse', 8, 2), ('case', 5, 3), ('nmod:poss', 5, 4), ('obl', 8, 5), ('nsubj', 8, 6), ('advmod', 8, 7), ('det', 11, 9), ('amod', 11, 10), ('obj', 8, 11), ('acl', 11, 12), ('det', 14, 13), ('obj', 12, 14), ('dep', 14, 15), ('case', 18, 16), ('det', 18, 17), ('obl', 15, 18), ('cc', 20, 19), ('conj', 15, 20), ('det', 22, 21), ('obj', 20, 22), ('advmod', 25, 23), ('nsubj', 25, 24), ('advcl', 20, 25), ('det', 28, 26), ('amod', 28, 27), ('obj', 25, 28), ('case', 31, 29), ('det', 31, 30), ('obl', 25, 31), ('case', 33, 32), ('nmod', 31, 33), ('punct', 8, 34), ('punct', 8, 35)]",
254,1626_9,ob,that/idea,'And as for 'changing it just in Maven' sorry but thats a stupid idea.',,,,,,,"[(""'"", '``'), ('And', 'CC'), ('as', 'IN'), ('for', 'IN'), (""'"", '``'), ('changing', 'VBG'), ('it', 'PRP'), ('just', 'RB'), ('in', 'IN'), ('Maven', 'NNP'), (""'"", 'POS'), ('sorry', 'JJ'), ('but', 'CC'), ('thats', 'VBZ'), ('a', 'DT'), ('stupid', 'JJ'), ('idea', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('dep', 1, 2), ('case', 6, 3), ('case', 6, 4), ('punct', 6, 5), ('dep', 2, 6), ('obj', 6, 7), ('advmod', 12, 8), ('case', 12, 9), ('nmod:poss', 12, 10), ('case', 10, 11), ('obl', 6, 12), ('cc', 14, 13), ('conj', 6, 14), ('det', 17, 15), ('amod', 17, 16), ('obj', 14, 17), ('punct', 2, 18), ('punct', 2, 19)]",I I 
255,180024_4,ob,it,'As it stands its just plain nasty.',,,,,,,"[(""'"", '``'), ('As', 'IN'), ('it', 'PRP'), ('stands', 'VBZ'), ('its', 'PRP$'), ('just', 'RB'), ('plain', 'JJ'), ('nasty', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('mark', 4, 2), ('nsubj', 4, 3), ('dep', 1, 4), ('nmod:poss', 8, 5), ('advmod', 8, 6), ('advmod', 8, 7), ('obj', 4, 8), ('punct', 4, 9), ('punct', 4, 10)]",
256,182725_4,ob,this/problem,'This is a pretty ugly problem if you want your XML to be pretty-printed then your text content will get mangled.',,,,,you ,,"[(""'"", '``'), ('This', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('pretty', 'RB'), ('ugly', 'JJ'), ('problem', 'NN'), ('if', 'IN'), ('you', 'PRP'), ('want', 'VBP'), ('your', 'PRP$'), ('XML', 'NN'), ('to', 'TO'), ('be', 'VB'), ('pretty', 'RB'), ('-', 'HYPH'), ('printed', 'VBN'), ('then', 'RB'), ('your', 'PRP$'), ('text', 'NN'), ('content', 'NN'), ('will', 'MD'), ('get', 'VB'), ('mangled', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 7, 2), ('cop', 7, 3), ('det', 7, 4), ('advmod', 6, 5), ('amod', 7, 6), ('dep', 1, 7), ('mark', 10, 8), ('nsubj', 10, 9), ('advcl', 23, 10), ('nmod:poss', 12, 11), ('obj', 10, 12), ('mark', 17, 13), ('aux:pass', 17, 14), ('advmod', 17, 15), ('punct', 17, 16), ('xcomp', 10, 17), ('advmod', 17, 18), ('nmod:poss', 21, 19), ('compound', 21, 20), ('obj', 17, 21), ('aux', 23, 22), ('parataxis', 7, 23), ('xcomp', 23, 24), ('punct', 7, 25), ('punct', 7, 26)]",
257,122118_1,ob,this,'I am also bitten by this nasty!',,,,,,,"[(""'"", '``'), ('I', 'PRP'), ('am', 'VBP'), ('also', 'RB'), ('bitten', 'VBN'), ('by', 'IN'), ('this', 'DT'), ('nasty', 'JJ'), ('!', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj:pass', 5, 2), ('aux:pass', 5, 3), ('advmod', 5, 4), ('dep', 1, 5), ('case', 8, 6), ('det', 8, 7), ('obl', 5, 8), ('punct', 5, 9), ('punct', 5, 10)]",you 
258,187748_9,ob,macros,'I think calling getCharRefcount fAposRef gAposRef directly is not that much typing Macros are the spawn of the devil I hate them.',,,,,,I ,"[(""'"", '``'), ('I', 'PRP'), ('think', 'VBP'), ('calling', 'VBG'), ('getCharRefcount', 'NNP'), ('fAposRef', 'NNP'), ('gAposRef', 'NNP'), ('directly', 'RB'), ('is', 'VBZ'), ('not', 'RB'), ('that', 'RB'), ('much', 'JJ'), ('typing', 'NN'), ('Macros', 'NNS'), ('are', 'VBP'), ('the', 'DT'), ('spawn', 'VB'), ('of', 'IN'), ('the', 'DT'), ('devil', 'NN'), ('I', 'PRP'), ('hate', 'VBP'), ('them', 'PRP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 17), ('punct', 14, 1), ('nsubj', 3, 2), ('parataxis', 14, 3), ('csubj', 14, 4), ('compound', 7, 5), ('compound', 7, 6), ('obj', 4, 7), ('advmod', 4, 8), ('cop', 14, 9), ('advmod', 14, 10), ('advmod', 12, 11), ('amod', 14, 12), ('compound', 14, 13), ('nsubj', 17, 14), ('cop', 17, 15), ('det', 17, 16), ('case', 20, 18), ('det', 20, 19), ('obl', 17, 20), ('nsubj', 22, 21), ('parataxis', 17, 22), ('obj', 22, 23), ('punct', 17, 24), ('punct', 17, 25)]",
259,179736_6,ob,thing/when creating..,'The annoying thing is when creating the .jar with xmlbeans itself only way working so far I do not have full control about javac options used.',,,,,,,"[(""'"", '``'), ('The', 'DT'), ('annoying', 'JJ'), ('thing', 'NN'), ('is', 'VBZ'), ('when', 'WRB'), ('creating', 'VBG'), ('the', 'DT'), ('.', '.'), ('jar', 'NN'), ('with', 'IN'), ('xmlbeans', 'NNS'), ('itself', 'PRP'), ('only', 'RB'), ('way', 'RB'), ('working', 'VBG'), ('so', 'RB'), ('far', 'RB'), ('I', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('full', 'JJ'), ('control', 'NN'), ('about', 'IN'), ('javac', 'NN'), ('options', 'NNS'), ('used', 'VBN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('det', 4, 2), ('amod', 4, 3), ('nsubj', 5, 4), ('advmod', 7, 6), ('advcl', 5, 7), ('obj', 7, 8), ('punct', 5, 9), ('ROOT', 0, 19), ('nsubj', 19, 1), ('case', 3, 2), ('nmod', 1, 3), ('obl:npmod', 1, 4), ('advmod', 6, 5), ('advmod', 7, 6), ('dep', 1, 7), ('advmod', 9, 8), ('advmod', 7, 9), ('nsubj', 13, 10), ('aux', 13, 11), ('advmod', 13, 12), ('parataxis', 7, 13), ('amod', 15, 14), ('obj', 13, 15), ('case', 18, 16), ('compound', 18, 17), ('nmod', 15, 18), ('punct', 19, 20), ('ROOT', 0, 1)]",I 
260,286713_7,ob,code,'It is too much code for this unusual usecase.',,,,,,It ,"[(""'"", '``'), ('It', 'PRP'), ('is', 'VBZ'), ('too', 'RB'), ('much', 'JJ'), ('code', 'NN'), ('for', 'IN'), ('this', 'DT'), ('unusual', 'JJ'), ('usecase', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('nsubj', 6, 2), ('cop', 6, 3), ('advmod', 5, 4), ('amod', 6, 5), ('case', 10, 7), ('det', 10, 8), ('amod', 10, 9), ('nmod', 6, 10), ('punct', 6, 11), ('punct', 6, 12)]",
261,186014_4,ob,transcoder,'Perhaps the thing to do is to rely on a stack-based buffer for strings up to a certain length plus couple that with a dumb transcoder that only does ASCII characters.',,,,,,,"[(""'"", '``'), ('Perhaps', 'RB'), ('the', 'DT'), ('thing', 'NN'), ('to', 'TO'), ('do', 'VB'), ('is', 'VBZ'), ('to', 'TO'), ('rely', 'VB'), ('on', 'IN'), ('a', 'DT'), ('stack', 'NN'), ('-', 'HYPH'), ('based', 'VBN'), ('buffer', 'NN'), ('for', 'IN'), ('strings', 'NNS'), ('up', 'IN'), ('to', 'IN'), ('a', 'DT'), ('certain', 'JJ'), ('length', 'NN'), ('plus', 'CC'), ('couple', 'NN'), ('that', 'IN'), ('with', 'IN'), ('a', 'DT'), ('dumb', 'JJ'), ('transcoder', 'NN'), ('that', 'WDT'), ('only', 'RB'), ('does', 'VBZ'), ('ASCII', 'NNP'), ('characters', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('advmod', 6, 2), ('det', 4, 3), ('nsubj', 6, 4), ('mark', 6, 5), ('dep', 1, 6), ('obj', 6, 7), ('mark', 9, 8), ('xcomp', 6, 9), ('case', 15, 10), ('det', 15, 11), ('obl', 14, 12), ('punct', 14, 13), ('amod', 15, 14), ('obl', 9, 15), ('case', 17, 16), ('nmod', 15, 17), ('case', 22, 18), ('case', 22, 19), ('det', 22, 20), ('amod', 22, 21), ('nmod', 17, 22), ('cc', 24, 23), ('conj', 22, 24), ('mark', 34, 25), ('case', 29, 26), ('det', 29, 27), ('amod', 29, 28), ('obl', 34, 29), ('nsubj', 34, 30), ('advmod', 34, 31), ('dep', 34, 32), ('compound', 34, 33), ('ccomp', 15, 34), ('punct', 6, 35), ('punct', 6, 36)]",It 
262,136450_1,ob,bug,'stupid bug.',,,,,,,"[(""'"", '``'), ('stupid', 'JJ'), ('bug', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 3), ('punct', 3, 1), ('amod', 3, 2), ('punct', 3, 4), ('punct', 3, 5)]",
263,317333_1,ob,it,'I have came across this one lately and it is annoying indeed.',,,,,,,"[(""'"", '``'), ('I', 'PRP'), ('have', 'VBP'), ('came', 'VBD'), ('across', 'IN'), ('this', 'DT'), ('one', 'CD'), ('lately', 'RB'), ('and', 'CC'), ('it', 'PRP'), ('is', 'VBZ'), ('annoying', 'JJ'), ('indeed', 'RB'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('aux', 4, 3), ('case', 7, 5), ('det', 7, 6), ('obl', 4, 7), ('advmod', 4, 8), ('cc', 12, 9), ('nsubj', 12, 10), ('cop', 12, 11), ('conj', 4, 12), ('advmod', 12, 13), ('punct', 4, 14), ('punct', 4, 15)]",
264,2295_1,self,I (implicito),'It was another dumb error from my part.',,,,,,It ,"[(""'"", '``'), ('It', 'PRP'), ('was', 'VBD'), ('another', 'DT'), ('dumb', 'JJ'), ('error', 'NN'), ('from', 'IN'), ('my', 'PRP$'), ('part', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('nsubj', 6, 2), ('cop', 6, 3), ('det', 6, 4), ('amod', 6, 5), ('case', 9, 7), ('nmod:poss', 9, 8), ('nmod', 6, 9), ('punct', 6, 10), ('punct', 6, 11)]",
265,77365_2,ob,bug,'Extremely annoying bug I ca not imagine this is a feature.',,,,,,,"[(""'"", '``'), ('Extremely', 'RB'), ('annoying', 'JJ'), ('bug', 'NN'), ('I', 'PRP'), ('ca', 'MD'), ('not', 'RB'), ('imagine', 'VB'), ('this', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('feature', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 12), ('punct', 12, 1), ('advmod', 3, 2), ('amod', 4, 3), ('nsubj', 12, 4), ('nsubj', 8, 5), ('aux', 8, 6), ('advmod', 8, 7), ('dep', 4, 8), ('obj', 8, 9), ('cop', 12, 10), ('det', 12, 11), ('punct', 12, 13), ('punct', 12, 14)]",It 
266,190865_1,ob,xsl,'The annoying xslkey bug is still present in the current Xalan-J Subversion trunk version.',,,,,,,"[(""'"", '``'), ('The', 'DT'), ('annoying', 'JJ'), ('xslkey', 'NN'), ('bug', 'NN'), ('is', 'VBZ'), ('still', 'RB'), ('present', 'JJ'), ('in', 'IN'), ('the', 'DT'), ('current', 'JJ'), ('Xalan', 'NNP'), ('-', 'HYPH'), ('J', 'NNP'), ('Subversion', 'NN'), ('trunk', 'NN'), ('version', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('det', 5, 2), ('amod', 5, 3), ('compound', 5, 4), ('nsubj', 8, 5), ('cop', 8, 6), ('advmod', 8, 7), ('dep', 1, 8), ('case', 17, 9), ('det', 17, 10), ('amod', 17, 11), ('compound', 14, 12), ('punct', 14, 13), ('compound', 17, 14), ('compound', 16, 15), ('compound', 17, 16), ('obl', 8, 17), ('punct', 8, 18), ('punct', 8, 19)]",
267,28365_8,ob,bug,'That was a nasty bug. ',,,,,,,"[(""'"", '``'), ('That', 'DT'), ('was', 'VBD'), ('a', 'DT'), ('nasty', 'JJ'), ('bug', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('nsubj', 6, 2), ('cop', 6, 3), ('det', 6, 4), ('amod', 6, 5), ('punct', 6, 7), ('punct', 6, 8)]",
268,972_1,ob,test case,'Honestly the test case attached is not very good.',,,,,,,"[(""'"", '``'), ('Honestly', 'RB'), ('the', 'DT'), ('test', 'NN'), ('case', 'NN'), ('attached', 'VBN'), ('is', 'VBZ'), ('not', 'RB'), ('very', 'RB'), ('good', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 10), ('punct', 10, 1), ('advmod', 10, 2), ('det', 5, 3), ('compound', 5, 4), ('nsubj', 10, 5), ('amod', 5, 6), ('cop', 10, 7), ('advmod', 10, 8), ('advmod', 10, 9), ('punct', 10, 11), ('punct', 10, 12)]",
269,2455_1,ob,making MetaAttribute mutable,'And yes I agree with you that making MetaAttribute mutable was quite ugly.',,,,,,,"[(""'"", '``'), ('And', 'CC'), ('yes', 'UH'), ('I', 'PRP'), ('agree', 'VBP'), ('with', 'IN'), ('you', 'PRP'), ('that', 'IN'), ('making', 'VBG'), ('MetaAttribute', 'NNP'), ('mutable', 'JJ'), ('was', 'VBD'), ('quite', 'RB'), ('ugly', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('cc', 5, 2), ('discourse', 5, 3), ('nsubj', 5, 4), ('case', 7, 6), ('obl', 5, 7), ('mark', 14, 8), ('csubj', 14, 9), ('obj', 9, 10), ('amod', 10, 11), ('cop', 14, 12), ('advmod', 14, 13), ('ccomp', 5, 14), ('punct', 5, 15), ('punct', 5, 16)]",
270,133953_2,ob,stuff,'Stupid kiddie trackback stuff.',,,,,,,"[(""'"", '``'), ('Stupid', 'JJ'), ('kiddie', 'NN'), ('trackback', 'NN'), ('stuff', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('amod', 5, 2), ('compound', 4, 3), ('compound', 5, 4), ('punct', 5, 6), ('punct', 5, 7)]",
271,447819_1,ob,this,'I am giving up on this.',,,,,,,"[(""'"", '``'), ('I', 'PRP'), ('am', 'VBP'), ('giving', 'VBG'), ('up', 'RP'), ('on', 'IN'), ('this', 'DT'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('aux', 4, 3), ('compound:prt', 4, 5), ('case', 7, 6), ('obl', 4, 7), ('punct', 4, 8), ('punct', 4, 9)]",
272,177105_2,ob,this/hack,'This is a really ugly hack and the better long-term solution is to provide native support for collections that use generics rather than the XWorkList.',,,,,,,"[(""'"", '``'), ('This', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('really', 'RB'), ('ugly', 'JJ'), ('hack', 'NN'), ('and', 'CC'), ('the', 'DT'), ('better', 'JJR'), ('long', 'JJ'), ('-', 'HYPH'), ('term', 'NN'), ('solution', 'NN'), ('is', 'VBZ'), ('to', 'TO'), ('provide', 'VB'), ('native', 'JJ'), ('support', 'NN'), ('for', 'IN'), ('collections', 'NNS'), ('that', 'WDT'), ('use', 'VBP'), ('generics', 'NNS'), ('rather', 'RB'), ('than', 'IN'), ('the', 'DT'), ('XWorkList', 'NNP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 7), ('punct', 7, 1), ('nsubj', 7, 2), ('cop', 7, 3), ('det', 7, 4), ('advmod', 6, 5), ('amod', 7, 6), ('cc', 14, 8), ('det', 14, 9), ('amod', 14, 10), ('amod', 13, 11), ('punct', 13, 12), ('compound', 14, 13), ('conj', 7, 14), ('aux', 17, 15), ('mark', 17, 16), ('acl', 7, 17), ('amod', 19, 18), ('obj', 17, 19), ('case', 21, 20), ('nmod', 19, 21), ('nsubj', 23, 22), ('acl:relcl', 21, 23), ('obj', 23, 24), ('case', 28, 25), ('fixed', 25, 26), ('det', 28, 27), ('obl', 23, 28), ('punct', 7, 29), ('punct', 7, 30)]",
273,280730_1,ob,bugs,'Fixed stupid buffer size bugs.',,,,,,,"[(""'"", '``'), ('Fixed', 'VBN'), ('stupid', 'JJ'), ('buffer', 'NN'), ('size', 'NN'), ('bugs', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 6), ('punct', 6, 1), ('amod', 5, 2), ('amod', 5, 3), ('compound', 5, 4), ('compound', 6, 5), ('punct', 6, 7), ('punct', 6, 8)]",
274,183010_4,ob,the Great Namespace Debate,'Advice This is partly related to the Great Namespace Debate/Debacle which consumed entirely too much W3C attention for entirely too long.',,,,,,,"[(""'"", '``'), ('Advice', 'NN'), ('This', 'DT'), ('is', 'VBZ'), ('partly', 'RB'), ('related', 'VBN'), ('to', 'IN'), ('the', 'DT'), ('Great', 'JJ'), ('Namespace', 'NN'), ('Debate', 'NN'), ('/', 'HYPH'), ('Debacle', 'NN'), ('which', 'WDT'), ('consumed', 'VBD'), ('entirely', 'RB'), ('too', 'RB'), ('much', 'JJ'), ('W3C', 'NN'), ('attention', 'NN'), ('for', 'IN'), ('entirely', 'RB'), ('too', 'RB'), ('long', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('compound', 3, 2), ('nsubj:pass', 6, 3), ('aux:pass', 6, 4), ('advmod', 6, 5), ('dep', 1, 6), ('case', 13, 7), ('det', 13, 8), ('amod', 13, 9), ('compound', 13, 10), ('compound', 13, 11), ('punct', 13, 12), ('obl', 6, 13), ('dep', 13, 14), ('acl', 14, 15), ('advmod', 18, 16), ('advmod', 18, 17), ('amod', 20, 18), ('compound', 20, 19), ('obj', 15, 20), ('case', 24, 21), ('advmod', 24, 22), ('advmod', 24, 23), ('acl', 20, 24), ('punct', 6, 25), ('punct', 6, 26)]",
