Sentence,Target Gold,Extracted Target,Correct Target,Extracted Opinion,Note,Problem Cat.,POS,DEP
'And as for 'changing it just in Maven' sorry but thats a stupid idea.' ,that idea,['idea'],['si'],['stupid'],,,,
'As it stands its just plain nasty.' ,it,['NA'],['no'],['NA'],,,,
'This is a pretty ugly problem if you want your XML to be pretty-printed then your text content will get mangled.' ,this problem,"['problem', 'you']","['si', 'no']",['ugly'],,,,
'I am also bitten by this nasty!' ,this,['NA'],['no'],['NA'],,,,
'I think calling getCharRefcount fAposRef gAposRef directly is not that much typing Macros are the spawn of the devil I hate them.' ,macros,"['Macros', 'getCharRefcount', 'fAposRef']","['si', 'no', 'no']",['much'],,,,
'The annoying thing is when creating the .jar with xmlbeans itself only way working so far I do not have full control about javac options used.' ,thing when creating..,['thing'],['si'],['annoying'],,,,
'It is too much code for this unusual usecase.' ,code,"['code', 'usecase']","['si', 'no']","['unusual', 'much']",,,,
'Perhaps the thing to do is to rely on a stack-based buffer for strings up to a certain length plus couple that with a dumb transcoder that only does ASCII characters.' ,transcoder,"['transcoder', 'buffer', 'characters', 'length', 'couple']","['si', 'no', 'no', 'no', 'no']","['dumb', 'certain']",,,,
'stupid bug.' ,bug,['bug'],['si'],['stupid'],,,,
'I have came across this one lately and it is annoying indeed.' ,it,['NA'],['no'],['annoying'],,,,
'It was another dumb error from my part.' ,I (implicito),['error'],['no'],['dumb'],,,,
'Extremely annoying bug I ca not imagine this is a feature.' ,bug,['bug'],['si'],['annoying'],,,,
'The annoying xslkey bug is still present in the current Xalan-J Subversion trunk version.' ,xsl,"['version', 'bug', 'trunk', 'J']","['no', 'no', 'no', 'no']","['current', 'annoying']",,,,
'That was a nasty bug. ' ,bug,['bug'],['si'],['nasty'],,,,
'Honestly the test case attached is not very good.' ,test case,['case'],['si'],['NA'],,,,
'And yes I agree with you that making MetaAttribute mutable was quite ugly.' ,making MetaAttribute mutable,['MetaAttribute'],['si'],['NA'],,,,
'Stupid kiddie trackback stuff.' ,stuff,['stuff'],['si'],['stupid'],,,,
'I am giving up on this.' ,this,['NA'],['no'],['NA'],,,,
'This is a really ugly hack and the better long-term solution is to provide native support for collections that use generics rather than the XWorkList.' ,this hack,"['support', 'term', 'solution', 'hack', 'solution']","['no', 'no', 'no', 'si', 'no']","['long', 'native', 'better', 'ugly']",,,,
'Fixed stupid buffer size bugs.' ,bugs,['size'],['no'],['stupid'],,,,
'Advice This is partly related to the Great Namespace Debate/Debacle which consumed entirely too much W3C attention for entirely too long.',the Great Namespace Debate,"['Debacle', 'attention', 'Debate', 'Namespace']","['no', 'no', 'si', 'si']","['great', 'much']",,,,
'Using a Date as a PK is horrible.' ,using,['NA'],['no'],['NA'],,,,
'I must have dumb hat on today.' ,I,"['hat', 'I']","['no', 'si']",['dumb'],,,,
'The screaming read performance of Hibernate Search is offset by horrible write performance as an update to a branch in a Document cascades back to a full root object initialization as the entire Document has to be recreated from scratch.' ,performance,"['object', 'performance', 'Document']","['no', 'si', 'no']","['full', 'entire', 'horrible']",,,,
'This issue is really annoying... another possible fix.' ,issue,['fix'],['no'],['possible'],,,,
'launchContext.getUser.equalstokenId.getApplicationSubmitter this is now a worthless check.' ,this check,['check'],['si'],['worthless'],,,,
'Stupid mistake.' ,mistake,['mistake'],['si'],['stupid'],,,,
' Checking an environment variable to decide whether to wrap the callback in a Ruby thread is ugly.' ,checking,['environment'],['no'],['NA'],,,,
' -1 for adding a dependency to CDI I find it a bit annoying as a user when I define a provider in the XML descriptor but I also have to use a qualifier in my injection points.',when I define a provider…,"['-1', 'I']","['no', 'si']",['NA'],,,,
'I do not like this too much.' ,this,['NA'],['no'],['NA'],,,,
'So yes using the XMLEntityResolver works better turning this solution from an awkward hack to a merely annoying workaround.' ,hacking,"['workaround', 'hack', 'workaround', 'hack']","['no', 'no', 'no', 'no']","['annoying', 'awkward']",,,,
'I am submitting a simple patch to solve this annoying issue.' ,issue,"['issue', 'patch', 'I']","['si', 'no', 'no']","['annoying', 'simple']",,,,
'Also all variables except dates are defined not-null instead of a null for a FK string they use a single space really annoying.' ,all variables are …,"['space', 'they']","['no', 'no']","['annoying', 'single']",,,,
'I found this annoying so I has a crack at it.' ,this,['NA'],['no'],['NA'],,,,
'Annoying that uploads are so hard to test even with Selenium.' ,that uploads are..,['Selenium'],['no'],['NA'],,,,
'The confusion and mixup between OgnlValueStack ActionContext ActionInvocation etc is too much.' ,confusion,"['OgnlValueStack', 'confusion', 'ActionContext']","['no', 'si', 'no']",['NA'],,,,
'Moving out to 2.3.0 I do not think this is an 'urgent' fix but it is annoying .',it,['fix'],['no'],['urgent'],,,,
'Stupid me.' ,me,['NA'],['no'],['NA'],,,,
'I see you are hacking around our nice APIs and then complain it does not work thanks that helps I will make a test using a free form fieldbridge.' ,you (implicito) ,"['APIs', 'form', 'I']","['no', 'no', 'no']","['free', 'nice']",,,,
'wow that is a really dumb error!' ,that error,['error'],['si'],['dumb'],,,,
'This bug is really annonying because RHEL 5 install version 5 of MySQL No support on MySQL 4 MySQL 4 is at end of his lifecycle in JPA it is so ugly to change our code from boolean to int a search in google 'MySQL 5 boolean BIT problem' shows so many desesperate people credibility of jboss this bug is so annoying that my team does not understand that it could be possible they are afraid that it could have other ugly bugs.. Laurent Mallet CTO of Oxalya ',bug,"['people', 'problem', 'bugs', 'BIT', 'No', 'MySQL', 'bug', 'it']","['no', 'no', 'no', 'no', 'no', 'no', 'si', 'no']","['boolean', 'desesperate', 'other', 'many', 'ugly']",,,,
'Still this guessing that Hibernate does here strikes me as ugly and I will from here on specify by defining the 'hibernate.connection.provider_class' property whether it is required or not. ' ,guessing,['NA'],['no'],['NA'],,,,
'I have seen many situations in which new JPA 2.0 style derived identities cause horrible mapping exceptions essentially making the underlying ORM useless with these mappings.',exceptions,"['ORM', 'style', 'exceptions', 'situations', 'I']","['no', 'no', 'si', 'no', 'no']","['many', 'horrible', 'new']",,,,
'The typo is annoying but does not otherwise break anything.' ,typo,['NA'],['no'],['NA'],,,,
'If the implementation of the interface has no choice but enumerating each applications and then check the filter is worthless of being pushed back.' ,filter,['NA'],['no'],['NA'],,,,
'=I find it a bit annoying as a user when I define a provider In the XML descriptor but I also have to use a qualifier In my injection points.' ,when I define a provider…,['I'],['si'],['NA'],,,,
'As an end-user of Xalan it is very annoying and user-unfriendly to require a Java program to be written to support features that are based on an XML standard atleast three years old.' ,to require a Java program…,['XML'],['no'],['unfriendly'],,,,
'onField onField is not a good name.' ,onField,"['name', 'onField']","['no', 'si']","['good', 'onfield']",,,,
'The annoying thing is that you cannot necessarily predict how many concurrent DB connection you will need.' ,that you canot necessarily…,"['thing', 'connection', 'you']","['no', 'no', 'si']","['annoying', 'concurrent', 'many']",,,,
'I am not too fussed about the backward compatibility the previous behavior was stupid.' ,behavior,"['compatibility', 'behavior']","['no', 'si']","['previous', 'backward']",,,,
'hmm got it deployed to tomcat but apparently some classloading issues since the filter cannot see the hibernate3 jar......something stupid probably ',something,"['something', 'issues']","['si', 'no']","['classloading', 'stupid']",,,,
'but i found another related bug which is also annoying which i will create another bug.' ,which (bug),"['bug', 'bug', 'i']","['no', 'no', 'no']",['related'],,,,
'Also just encountered this issue when using Maven very annoying...' ,issue,['Maven'],['no'],['NA'],,,,
'Consider the following example which is really ugly in my opinion if implemented on bean level Consider would be a binary constraint allowing to reference another property that provides the maximum value.' ,which (example),"['constraint', 'value', 'example']","['no', 'no', 'no']","['binary', 'maximum']",,,,
'It is a terrible user experience when AMs do not start as they are expected.' ,user experience,['experience'],['si'],['terrible'],,,,
'me stupid.' ,me,['NA'],['no'],['NA'],,,,
'Ugly ugly ugly part of the fix Using surefire plugin 2.4-SNAPSHOT.',part,"['part', 'SNAPSHOT']","['si', 'no']","['surefire', 'ugly']",,,,
'Yes it is failing a LOT these days which is annoying.' ,which (it is failing…),['NA'],['no'],['NA'],,,,
'In xerces-bug.xsd I hate this file name you have attributeFormDefault='unqualified' which means local attribute declarations in this schema document do not have a target namespace.' ,name,"['declarations', 'I']","['no', 'no']",['local'],,,,
'But it leads to really annoying problems.' ,problems,['problems'],['si'],['annoying'],,,,
'It is a simple fix for an annoying bug...' ,bug,"['fix', 'bug']","['no', 'si']","['annoying', 'simple']",,,,
' this is now a worthless check.' ,this check,['check'],['si'],['worthless'],,,,
'This does not seem like a good default behavior.' ,this behavior,['behavior'],['si'],['good'],,,,
'the sequential flag is a particularly ugly piece.' ,flag,"['flag', 'piece']","['si', 'no']","['sequential', 'ugly']",,,,
'However discussing small things like this on mailing lists and/or Jira takes too much time what have taken half an hour over IM would have probably taken several days considering that a lot of people are living in different time zones.' ,discussing…,"['time', 'things', 'days', 'zones', 'what']","['no', 'no', 'no', 'no', 'no']","['different', 'small', 'several', 'much']",,,,
'I hate sleeps in tests btw!' ,sleeps,['NA'],['no'],['NA'],,,,
'1. this bug was stupid 2.',bug,['NA'],['no'],['NA'],,,,
'I would agree clients pulling individual config keys is a terrible way to get these clients working.' ,clients pulling individual…,"['keys', 'way']","['no', 'no']","['individual', 'terrible']",,,,
'The only annoying part is having to use variables for the transitive dependencies.' ,having to use…,"['part', 'dependencies']","['no', 'no']","['annoying', 'only', 'transitive']",,,,
'It is an ugly hack nice for testing but nothing else.' ,it hack,"['nothing', 'hack', 'nothing']","['no', 'si', 'no']","['nice', 'ugly']",,,,
'It makes my test case pass but I am sure my fix is ugly.' ,fix,['NA'],['no'],['NA'],,,,
'-1 too much complexity for very little value',complexity value,"['complexity', 'value']","['si', 'si']","['little', 'much']",,,,
'But this is stupid.' ,this,['NA'],['no'],['NA'],,,,
'I would argue that this duplicates the XALANJ-2461 which is about the same thing but older and more generic it is not really about spaces only but a dumb implementation which ignores required de-escaping.',implementation,"['thing', 'implementation', 'spaces', 'de-escaping', 'spaces']","['no', 'si', 'no', 'no', 'no']","['same', 'more', 'dumb', 'older']",,,,
'One was that 'my improvement' behaves really poorly shame on me that I have offered it here untested.' ,I (implicito),['I'],['si'],['NA'],,,,
'It would be great to get folks to stop whining when they have to write documentation and stop blaming Forrest.' ,Anyone (implicito),['they'],['no'],['NA'],,,,
'Part of the problem is I made a very very stupid mistake with regards to how the ServiceTrackers are opened and managed.' ,I (implicito),"['mistake', 'Part']","['no', 'no']",['stupid'],,,,
'I would hate to re-implement something so basic.' ,to re-implement,['something'],['no'],['basic'],,,,
'This bug is really annoying... Whe running WebSphere 6.1 and 7.0 and we also had to remove those classes.',bug,['NA'],['no'],['NA'],,,,
'This works but it is ugly.' ,it,['NA'],['no'],['NA'],,,,
'|1' It correctly matched months 1 to 9 that were just before that annoying 10.',“10”,['NA'],['no'],['annoying'],,,,
'So duplicate code is our only option here as much as I hate to copy code myself.' ,to copy…,"['code', 'option']","['no', 'no']","['duplicate', 'only', 'much']",,,,
'Stupid oversight on my side.' ,I (implicito),['oversight'],['no'],['stupid'],,,,
'Most of it is rather trivial with one ugly exception.' ,exception,['exception'],['si'],['ugly'],,,,
'If everything that is written has to fit your arbitrary 'feel good' rule I would hate to see how much code is going to actually make it into production.' ,to see how much code…,['NA'],['no'],['much'],,,,
'I mean this is simply stupid Animal a = new Dog Cat c = Cat a now c is magically set to null It is difficult to change the scenario where get leads to the entity being loaded from the database such that it throws a CCE.' ,this,"['Animal', 'c', 'Cat', 'Dog']","['no', 'no', 'no', 'no']","['new', 'stupid']",,,,
'I met the same annoying bug with xerces C++ 2.7.0.',bug,"['bug', 'I']","['si', 'no']","['same', 'annoying']",,,,
'Yes this one is annoying.' ,this,['NA'],['no'],['NA'],,,,
'Next time please put a failing test case with your code and do a proper patch file i am wasting too much time on false assumption fixes.' ,you (implicito),"['time', 'file', 'case', 'fixes', 'i']","['no', 'no', 'no', 'no', 'no']","['false', 'proper', 'next', 'much']",,,,
'I am sure you can understand why this is very annoying to the development team.' ,this,['NA'],['no'],['NA'],,,,
'Definitely a nasty bug.' ,bug,['bug'],['si'],['nasty'],,,,
'I have just encountered it and this is terrible.' ,this,['I'],['no'],['NA'],,,,
'Its annoying that java does not have a Null object as such perhaps when we detect a null we can wrapp it with a NullField or something?' ,that java doesn’t have…,"['object', 'we']","['no', 'no']",['NA'],,,,
'I have the Oracle 10g driver lying around here somewhere but it is still annoying.',it,"['10g', 'Oracle']","['no', 'no']",['annoying'],,,,
'I am running into the same problem as Alexandrino and I have to say that it is very annoying during development as all my jars are coming from the Maven Repository directory in the Documents and Settings directory and I am unable to start any of my projects this way.' ,it,"['problem', 'Alexandrino', 'problem']","['no', 'no', 'no']","['same', 'unable']",,,,
'I personally hate having to get it all set up to be able to test a patch.' ,having to get it all set up…,['NA'],['no'],['NA'],,,,
'Stupid idea.' ,idea,['idea'],['si'],['stupid'],,,,
'Stupid JIRA just lost a long comment I made.' ,JIRA,"['JIRA', 'comment']","['si', 'no']","['long', 'stupid']",,,,
'However the spec is vague enough and the rule stupid enough for me not to want to apply it right away.' ,rule,['rule'],['si'],"['vague', 'enough', 'stupid']",,,,
'Typo is annoying but not worth fixing given caught in the netherworld of code that has a public API that must be stable and code that is almost never called from outside the framework implementation.' ,typo,['API'],['no'],"['public', 'worth']",,,,
'Damn I hate it when someone adds an incompatible change overnight It will be back tomorrow so we will see how it goes.' ,when someone adds…,"['tomorrow', 'change', 'I']","['no', 'no', 'no']",['incompatible'],,,,
'So you should probably stop blaming my ignorance.' ,you,['NA'],['no'],['NA'],,,,
'Basicfetch=LAZY Lob Go to the user forum next time and avoid insulting people even committee people does not deserve that.' ,you (implicito) ,"['Basicfetch', 'time', 'people', 'Lob', 'people']","['no', 'no', 'no', 'no', 'no']","['next', 'lazy']",,,,
'Yes this indeed is annoying.' ,this,['NA'],['no'],['NA'],,,,
'The correct result which I expect is indeed 15 so that 16 number is upsetting my views.',That 16 number,['result'],['no'],['correct'],,,,
'The workaround of creating delegate getters and setters for composite key fields is ugly.' ,workaround,"['getters', 'fields', 'getters', 'setters', 'fields']","['no', 'no', 'no', 'no', 'no']","['key', 'composite']",,,,
'This is just something I naturally find annoying.' ,this,['something'],['no'],['NA'],,,,
'Now I have to do in base classes something like public MyBase set the value of discriminator is field kind = this.getClass.getSimpleName I think it is really ugly ' ,it,"['set', 'kind', 'field', 'something']","['no', 'no', 'no', 'no']",['public'],,,,
'I am dumb.' ,I,['NA'],['no'],['NA'],,,,
'I am even more terrible with names so I will defer to Nick is suggestions...' ,I,['NA'],['no'],['NA'],,,,
'I am presuming its something that I am totallly blindly missing.. dumb ol' me!' ,me,['I'],['no'],['NA'],,,,
'hmm but that is horrible if a colon is encoded because then the default wicket url the redirect url will be completely blown up.' ,that (if a colon is …),"['url', 'url']","['no', 'no']",['NA'],,,,
' In some places the code was doing System.err.printlngexception which I modified to exception.printStackTraceSystem.err because the original code does not print out the whole stack trace and it is really annoying when I get a message on the console that does not tell me where in the code it happened. ' ,when I get a message…,"['trace', 'code', 'I']","['no', 'no', 'si']","['whole', 'original']",,,,
'Now I do not have to use this ugly hack in them anymore!' ,hack,['hack'],['si'],['ugly'],,,,
'Dumb newbie mistake I will hopefully not repeat.' ,I (implicito),"['mistake', 'mistake']","['no', 'no']",['dumb'],,,,
' This is really annoying because I use a lot of Javascript inside the datatables and now I get script errors and my pages are not submitable.' ,this,['I'],['no'],['NA'],,,,
'I am assinging this to me this is easy to add since I am doing a complete overhaul of the positioning i can add this as well the bug is visually annoying ' ,bug,"['overhaul', 'I']","['no', 'no']",['complete'],,,,
'I agree the ifdefs are ugly and I wish they could be avoided.' ,ifdefs,['NA'],['no'],['NA'],,,,
'It is annoying that if you have one of the test-reports opened with eg vim 'ant test' will faill with prepare Deleting directory Dsrcwss4j_wss108trunkbuildtest-reports BUILD FAILED Dsrcwss4j_wss108trunkbuild.xml257 Unable to delete file Dsrcwss4j_wss1 08trunkbuildtest-reports.TEST-wssec.PackageTests.xml.swp',that if you have one…,"['Dsrcwss4j_wss108trunkbuild', 'reports', 'directory', 'Dsrcwss4j_wss108trunkbuildtest', 'ant', 'you']","['no', 'no', 'no', 'no', 'no', 'si']",['NA'],,,,
'This was no bug i had to clear my browser cache stupid mistake sry' ,I (implicito),['sry'],['no'],['stupid'],,,,
'For WildCard types in C++ a dumb proposal.' ,proposal,['proposal'],['si'],['dumb'],,,,
'I hate to restart my server everytime I need to add a new mapping or change the existing.' ,to restart my server …,['mapping'],['no'],['new'],,,,
'If it is about incrementing a counter of course that would be dumb... Makes me think that most of the SimpleDateFormat instances should also be stored in ThreadLocal...' ,that (incrementing a counter),['NA'],['no'],['NA'],,,,
'This is very annoying for anyone who uses SSL on their site.' ,this,['NA'],['no'],['NA'],,,,
'I know the page is ugly and maybe quite confusing specially after seeing Niall's...' ,page,['NA'],['no'],['confusing'],,,,
'Stupid catch block mistake.' ,mistake,['mistake'],['si'],['stupid'],,,,
'gah i dont want to have the stupid modules division again.' ,division,"['modules', 'gah']","['no', 'no']",['stupid'],,,,
'Stupid git diff.' ,diff,['diff'],['si'],['stupid'],,,,
'It seems stupid to me that currently you cannot access that data without using a helper function.' ,that currently…,['NA'],['no'],['NA'],,,,
'Wow that was dumb on my part.' ,I (implicito),['NA'],['no'],['NA'],,,,
'The Java 5 thing is annoying I have heard some noise that forrest is working towards a release 'rsn' as part of which the java 5 requirement would be dropped.',thing,['NA'],['no'],['NA'],,,,
'Jason you are worthless!' ,you,['Jason'],['no'],['NA'],,,,
'I will do my best to find time tomorow to test your code..I have to find that time just to alow you to forgive my stupid mistake....' ,I (implicito),"['time', 'code']","['no', 'no']",['NA'],,,,
'but i hate it and really think it is useless to sign anything in this case so i prefer the option of deactivating it if you have such a constraint.' ,it to sign anything…,"['i', 'you']","['no', 'no']",['NA'],,,,
'I did that two days ago and again we have the same annoying problem.' ,problem,"['problem', 'we']","['si', 'no']","['annoying', 'same']",,,,
'Do not you think it is a little arrogant to assume that if an example 'found in many velocity books' does not work for you that the problem is with Velocity rather than with your use of it?' ,to assume…,['books'],['no'],['many'],,,,
'But I would hate to put Jukka into n-way merge hell.' ,to put Jukka into…,"['way', 'merge']","['no', 'no']",['NA'],,,,
'If you add this stupid servlet mapping tiles /blahblah it seems to work.' ,mapping,"['tiles', 'mapping', 'servlet', 'you']","['no', 'si', 'no', 'no']",['stupid'],,,,
'This annoying bug is still present.' ,bug,['bug'],['si'],['annoying'],,,,
'from Simon is email Hello all Currently that method requires a string array and it is kind of annoying to use because of that.' ,to use,"['method', 'email']","['no', 'no']",['NA'],,,,
'But after taking another look to your patch I see that I am stupid.....' ,I,['NA'],['no'],['NA'],,,,
'I hate nodejs dependencies for exactly this reason.' ,dependencies,['I'],['no'],['nodejs'],,,,
'The exeption seen here is annoying but seems to break nothing.' ,exception,['NA'],['no'],['NA'],,,,
'This can be annoying because the exception report stops short of where the really useful detail goes.' ,this,['detail'],['no'],"['short', 'useful']",,,,
'The code in this class is quite ugly at the moment.' ,code,['NA'],['no'],['NA'],,,,
'I hate it when I do that Marking resolved as per reporter is comment.' ,I (implicito),['I'],['si'],['NA'],,,,
'I also found it annoying to have to find out what to install and where.' ,to have to find out…,['NA'],['no'],['NA'],,,,
'I agree....That is hugely annoying and has stung me several times as well.' ,that,['times'],['no'],['several'],,,,
'As a long time QE quality engineering person I really hate to close bugs without a good reason for the resolution.' ,to close bugs…,"['time', 'reason', 'person', 'quality', 'engineering', 'QE']","['no', 'no', 'no', 'no', 'no', 'no']","['long', 'good']",,,,
'It is pretty annoying to read these descriptors.' ,to read these decriptors…,['NA'],['no'],['NA'],,,,
'Completely agree with Jeremy I have just run into this and it is incredibly annoying from a user is perspective.' ,it,['NA'],['no'],['annoying'],,,,
'tika-config.xml is horrible to us it would be good to pass a META-INF like list to the AutoDetectParser I implemented that for another non-solr project we use at PANGAEA where i used the META-INF list of Tika deleted all unused parsers and passed them somehow to TIKA.' ,Tika-config.xml,"['parsers', 'project', 'project', 'PANGAEA', 'i']","['no', 'no', 'no', 'no', 'no']","['unused', 'non-solr']",,,,
'Some annoying Hadoop configuration.' ,configuration,['configuration'],['si'],['annoying'],,,,
'0002 is pretty ugly but I am posting it rather than leaving a completely broken patch.',“0002”,"['patch', 'I']","['no', 'no']",['broken'],,,,
'The fact that it gets converted to n when read back in is just plain ugly.' ,the fact that it gets…,['NA'],['no'],['plain'],,,,
'Very annoying the functionality to display an customized error-page seems quite basic.' ,the functionality to ….,['page'],['no'],['NA'],,,,
'Now I feel dumb.' ,I,['NA'],['no'],['NA'],,,,
'You are right Having two types is very very annoying.' ,having two types,['NA'],['no'],['NA'],,,,
'You are right it is very annoying to see.' ,it,['NA'],['no'],['NA'],,,,
'IE 5.5/6.0 still throws some really disturbing error messages which I could not yet resolve. ',messages,['messages'],['si'],['disturbing'],,,,
'As expected it was a stupid typo please do not look carefully.' ,typo,['typo'],['si'],['stupid'],,,,
'I do not require the whitespace for rendering anywhere at least that I know of this is not going to be a fun way to find out but just about any other debugging issue is going to be terrible.' ,issue,"['issue', 'way']","['si', 'no']","['fun', 'other']",,,,
'I really hate discussing anything using this stupid tool.' ,discussing anything…,['tool'],['no'],['stupid'],,,,
'This is really annoying if UIs are created generically.' ,if Uis are created…,['NA'],['no'],['NA'],,,,
'This is also ugly.' ,this,['NA'],['no'],['NA'],,,,
'i think its really stupid that visitparents visits the current component so -1 on just updating the javadocs.',that visitparents…,['component'],['no'],['current'],,,,
'Not the only ones who have hit this nasty ,Http. dev.rubyonrayls.org…,['ones'],['no'],['only'],,,,
'This is an annoying restriction but we should not break it -87 10 +92 6 return If the encoding is already right we can bail if encoding.equals_encoding return Do not call super.setCharacterEncoding it is too late and we will get a warning _encoding = encoding however since the WARNING is without any harm we could simple keep the current behavior...',restriction,"['behavior', '-87', 'return', 'we']","['no', 'no', 'no', 'no']","['simple', 'current', 'annoying']",,,,
'I run into the same problem every now and then and it is always annoying to work around.' ,problem (to work around),['problem'],['si'],"['same', 'annoying']",,,,
'The buttons are quite ugly.' ,buttons,['NA'],['no'],['NA'],,,,
'so terrible my English is!!!' ,I (implicito),['NA'],['no'],['NA'],,,,
'At the moment the 2nd fix is active because the 1st one causes ugly flickering. ',flickering,['fix'],['no'],"['2nd', '1st']",,,,
'This is an annoying issue meaning we have to manually specify how to convert each set of list data.' ,this issue,['issue'],['si'],['annoying'],,,,
'The way the JSP tag overloads the 'type' attribute to allow specifying an instance is ugly.' ,way,"['JSP', 'tag']","['no', 'no']",['NA'],,,,
'But ... this solution is really ugly The flickering at the and of the string.' ,solution,['NA'],['no'],['NA'],,,,
'This is indeed a annoying bug I have replicated it locally in a test case.' ,this bug,"['bug', 'I']","['si', 'no']",['annoying'],,,,
'Yeap stupid little me should check the FAQ now and then .' ,me,['NA'],['no'],['NA'],,,,
'I have been doing a lot of experimentation with Maven and have come to hate it.' ,experimentation,['I'],['no'],['NA'],,,,
'What is really annoying is that I get warnings at generated lines like these public override int GetHashCode int hashcode = 0 unchecked hashcode = hashcode 397 .Value == null ?',that I get warnings…,"['lines', 'override', 'hashcode', 'hashcode', 'GetHashCode', 'int']","['no', 'no', 'no', 'no', 'no', 'no']","['unchecked', 'public']",,,,
'I think the file upload docs should point out this nasty nasty side effect.' ,effect,"['effect', 'upload', 'file']","['si', 'no', 'no']",['nasty'],,,,
'And yeah it is annoying in scripts . ' ,it,['NA'],['no'],['NA'],,,,
' generates it still writes that empty label tag which is annoying.',which (label),"['tag', 'tag']","['no', 'no']",['empty'],,,,
'I just want to use for example XPathAPI doc ' SMARTDOC/SIGNATURES/Signature/SignedInfo/CanonicalizationMethod/Algori thm' instead of ElementgetElementsByitem0...firstChild..ugly...',instead of … (implicito),"['XPathAPI', 'Signature', 'CanonicalizationMethod', 'SignedInfo', 'example', 'thm']","['no', 'no', 'no', 'no', 'no', 'no']",['NA'],,,,
'Having the client side and server side behave differently is kind of ugly.' ,having the client…,['NA'],['no'],['NA'],,,,
'That is a really good bug report... this problem is been annoying me for a VERY long time.' ,problem,"['time', 'report']","['no', 'no']","['long', 'good']",,,,
'One nasty workaround for your problem would be to subclass VelocityEngine which delegates everything to Velocity.' ,workaround,['workaround'],['si'],['nasty'],,,,
'Urghhhhh yes this is a problem and all down to the horrible way the javascript validators are structured to 'call back'.' ,way (the javascript validators…),"['way', 'Urghhhhh', 'way']","['si', 'no', 'si']",['horrible'],,,,
'Yes this difference in the DOM and XPath data models is annoying.' ,difference,"['DOM', 'data']","['no', 'no']",['NA'],,,,
'It seems that we have no choice but to implement it as Bryant suggested but I really really really hate that we have to have special handling for a weird requirement of the SRV spec.' ,that we have to have…,"['handling', 'requirement', 'we']","['no', 'no', 'si']","['special', 'weird']",,,,
'Grabbing the big ugly ImageSubmit component -.' ,component,['component'],['si'],"['ugly', 'big']",,,,
'And finnaly the code listed above is ugly because the code does nothing in all cases returns getApplication.getSessionSettings.getPageFactory ....' ,code,['NA'],['no'],['NA'],,,,
'The stupid namespace bug is fixed but the test still fails.' ,bug,['bug'],['si'],['stupid'],,,,
'What an annoying situation you ca not even use a http tunnel because then the client would compare the received hostname with 'localhost'' ,situation,"['situation', 'hostname', 'situation', 'tunnel', 'you']","['si', 'no', 'si', 'no', 'no']",['annoying'],,,,
'b.t.w. I HATE when property settings make this big a difference 'cause its impossible to find the exact documentation on this kinda of stuff.' ,when property settings…,"['difference', 'documentation']","['no', 'no']","['big', 'exact']",,,,
'It is a bit annoying in Apache ODE as we have to ask our users to work this around.' ,it,['we'],['no'],['NA'],,,,
'This issue is really quite annoying.' ,issue,['NA'],['no'],['NA'],,,,
'Once again given that there will be potentially hundreds to thousands of UserHistoryEvent objects in EACH of those relationships encoding the target entities or their pk's into the url is ugly and really not scalable.' ,encoding,"['thousands', 'objects']","['no', 'no']",['scalable'],,,,
'The Java 5 thing is annoying and I found it non-trivial to change the layout e.g.',thing,['I'],['no'],['NA'],,,,
'I know pretty ugly but I think that is how browsers handle it. ' ,it (implicito),['NA'],['no'],['NA'],,,,
'I really dislike the format 'scheme userHost' where the password is hidden with it is kind of ugly and I do not think it serves any purpose to show the .' ,format ,['NA'],['no'],['NA'],,,,
'Also note that it is annoying to pass pointers to POD and string literals in Go.' ,to pass pointers,['NA'],['no'],['NA'],,,,
'This is quite annoying... ' ,this,['NA'],['no'],['NA'],,,,
'This bug is really annoying.' ,bug,['NA'],['no'],['NA'],,,,
'and now you dont base your flow on exceptions which i find kind of ugly' ,exceptions,['NA'],['no'],['NA'],,,,
'Yes indeed the given workaround is ugly.' ,workaround,['workaround'],['si'],['NA'],,,,
'One could have different transform rules for some types of element insertions but that is very ugly and essentially introducing a separate operation type anyway.' ,that (one could have…),"['rules', 'type', 'One']","['no', 'no', 'si']","['separate', 'different', 'ugly']",,,,
'The need for PAGE_CONTEXT is due to some very complex and annoying!' ,(missing?),['NA'],['no'],['annoying'],,,,
'This is annoying and fragile.' ,this,['NA'],['no'],['fragile'],,,,
'4 Now that I am using Thrift in anger I find that the fidelity of the language-binding for the types that already exist seems far far more important than adding new types.',(using Thrift?),"['types', 'I']","['no', 'no']",['new'],,,,
'It is definitely annoying.' ,it,['NA'],['no'],['NA'],,,,
'Alternatively we would have to add new 64-bit variants where necessary which seems annoying.',which (add new 64-bit…),['variants'],['no'],['new'],,,,
'I had to do a lot of annoying repair work before I could run it due to the extra line-breaks that were inserted when you pasted into the web form in the future please use Bugzilla is 'Create a new attachment' mechanism.' ,work,"['attachment', 'work', 'breaks', 'form', 'future', 'I']","['no', 'si', 'no', 'no', 'no', 'no']","['new', 'annoying', 'extra']",,,,
'While this is annoying and could potentially be an issue which is why I suggest we block the 'session' parameter in the next release it does not allow any method execution or server-side state change and therefore I do not consider it a security hole.' ,this,"['release', 'issue', 'state', 'side']","['no', 'no', 'no', 'no']",['next'],,,,
'Thanks a lot igor and... shame on me for this mistake.' ,me,['NA'],['no'],['NA'],,,,
